Algorithm,Top_K,Min_Support,Confidence_Threshold,Max_Itemset_Length,Accuracy,Precision,Recall,Hit Rate,MRR
Apriori,50,0.005,0.05,2,0.3534367588164392,0.1162455771997356,0.03503244087311804,0.1162455771997356,0.1162455771997356
FP-Growth,50,0.005,0.05,2,0.3534367588164392,0.1162455771997356,0.03503244087311804,0.1162455771997356,0.1162455771997356
Apriori,50,0.005,0.05,4,0.3534367588164392,0.1162455771997356,0.03503244087311804,0.1162455771997356,0.1162455771997356
FP-Growth,50,0.005,0.05,4,0.3534367588164392,0.1162455771997356,0.03503244087311804,0.1162455771997356,0.1162455771997356
Apriori,50,0.005,0.1,2,0.3534367588164392,0.1162455771997356,0.03503244087311804,0.1162455771997356,0.1162455771997356
FP-Growth,50,0.005,0.1,2,0.3534367588164392,0.1162455771997356,0.03503244087311804,0.1162455771997356,0.1162455771997356
Apriori,50,0.005,0.1,4,0.3534367588164392,0.1162455771997356,0.03503244087311804,0.1162455771997356,0.1162455771997356
FP-Growth,50,0.005,0.1,4,0.3534367588164392,0.1162455771997356,0.03503244087311804,0.1162455771997356,0.1162455771997356
Apriori,50,0.005,0.2,2,0.3534367588164392,0.1162455771997356,0.03503244087311804,0.1162455771997356,0.1162455771997356
FP-Growth,50,0.005,0.2,2,0.3534367588164392,0.1162455771997356,0.03503244087311804,0.1162455771997356,0.1162455771997356
Apriori,50,0.005,0.2,4,0.3534367588164392,0.1162455771997356,0.03503244087311804,0.1162455771997356,0.1162455771997356
FP-Growth,50,0.005,0.2,4,0.3534367588164392,0.1162455771997356,0.03503244087311804,0.1162455771997356,0.1162455771997356
Apriori,50,0.005,0.3,2,0.3534367588164392,0.04549165986235857,0.012458546745333797,0.04549165986235857,0.04549165986235857
FP-Growth,50,0.005,0.3,2,0.3534367588164392,0.04549165986235857,0.012458546745333797,0.04549165986235857,0.04549165986235857
Apriori,50,0.005,0.3,4,0.3534367588164392,0.04549165986235857,0.012458546745333797,0.04549165986235857,0.04549165986235857
FP-Growth,50,0.005,0.3,4,0.3534367588164392,0.04549165986235857,0.012458546745333797,0.04549165986235857,0.04549165986235857
Apriori,50,0.01,0.05,2,0.3534367588164392,0.08312453827909327,0.023312845544102574,0.08312453827909327,0.08312453827909327
FP-Growth,50,0.01,0.05,2,0.3534367588164392,0.08312453827909327,0.023312845544102574,0.08312453827909327,0.08312453827909327
Apriori,50,0.01,0.05,4,0.3534367588164392,0.08312453827909327,0.023312845544102574,0.08312453827909327,0.08312453827909327
FP-Growth,50,0.01,0.05,4,0.3534367588164392,0.08312453827909327,0.023312845544102574,0.08312453827909327,0.08312453827909327
Apriori,50,0.01,0.1,2,0.3534367588164392,0.08312453827909327,0.023312845544102574,0.08312453827909327,0.08312453827909327
FP-Growth,50,0.01,0.1,2,0.3534367588164392,0.08312453827909327,0.023312845544102574,0.08312453827909327,0.08312453827909327
Apriori,50,0.01,0.1,4,0.3534367588164392,0.08312453827909327,0.023312845544102574,0.08312453827909327,0.08312453827909327
FP-Growth,50,0.01,0.1,4,0.3534367588164392,0.08312453827909327,0.023312845544102574,0.08312453827909327,0.08312453827909327
Apriori,50,0.01,0.2,2,0.3534367588164392,0.08312453827909327,0.023312845544102574,0.08312453827909327,0.08312453827909327
FP-Growth,50,0.01,0.2,2,0.3534367588164392,0.08312453827909327,0.023312845544102574,0.08312453827909327,0.08312453827909327
Apriori,50,0.01,0.2,4,0.3534367588164392,0.08312453827909327,0.023312845544102574,0.08312453827909327,0.08312453827909327
FP-Growth,50,0.01,0.2,4,0.3534367588164392,0.08312453827909327,0.023312845544102574,0.08312453827909327,0.08312453827909327
Apriori,50,0.01,0.3,2,0.3534367588164392,0.0257257280609666,0.007075670578251398,0.0257257280609666,0.0257257280609666
FP-Growth,50,0.01,0.3,2,0.3534367588164392,0.0257257280609666,0.007075670578251398,0.0257257280609666,0.0257257280609666
Apriori,50,0.01,0.3,4,0.3534367588164392,0.0257257280609666,0.007075670578251398,0.0257257280609666,0.0257257280609666
FP-Growth,50,0.01,0.3,4,0.3534367588164392,0.0257257280609666,0.007075670578251398,0.0257257280609666,0.0257257280609666
Apriori,50,0.02,0.05,2,0.3534367588164392,0.0,0.0,0.0,0.0
FP-Growth,50,0.02,0.05,2,0.3534367588164392,0.0,0.0,0.0,0.0
Apriori,50,0.02,0.05,4,0.3534367588164392,0.0,0.0,0.0,0.0
FP-Growth,50,0.02,0.05,4,0.3534367588164392,0.0,0.0,0.0,0.0
Apriori,50,0.02,0.1,2,0.3534367588164392,0.0,0.0,0.0,0.0
FP-Growth,50,0.02,0.1,2,0.3534367588164392,0.0,0.0,0.0,0.0
Apriori,50,0.02,0.1,4,0.3534367588164392,0.0,0.0,0.0,0.0
FP-Growth,50,0.02,0.1,4,0.3534367588164392,0.0,0.0,0.0,0.0
Apriori,50,0.02,0.2,2,0.3534367588164392,0.0,0.0,0.0,0.0
FP-Growth,50,0.02,0.2,2,0.3534367588164392,0.0,0.0,0.0,0.0
Apriori,50,0.02,0.2,4,0.3534367588164392,0.0,0.0,0.0,0.0
FP-Growth,50,0.02,0.2,4,0.3534367588164392,0.0,0.0,0.0,0.0
Apriori,50,0.02,0.3,2,0.3534367588164392,0.0,0.0,0.0,0.0
FP-Growth,50,0.02,0.3,2,0.3534367588164392,0.0,0.0,0.0,0.0
Apriori,50,0.02,0.3,4,0.3534367588164392,0.0,0.0,0.0,0.0
FP-Growth,50,0.02,0.3,4,0.3534367588164392,0.0,0.0,0.0,0.0
Apriori,50,0.03,0.05,2,0.3534367588164392,0.0,0.0,0.0,0.0
FP-Growth,50,0.03,0.05,2,0.3534367588164392,0.0,0.0,0.0,0.0
Apriori,50,0.03,0.05,4,0.3534367588164392,0.0,0.0,0.0,0.0
FP-Growth,50,0.03,0.05,4,0.3534367588164392,0.0,0.0,0.0,0.0
Apriori,50,0.03,0.1,2,0.3534367588164392,0.0,0.0,0.0,0.0
FP-Growth,50,0.03,0.1,2,0.3534367588164392,0.0,0.0,0.0,0.0
Apriori,50,0.03,0.1,4,0.3534367588164392,0.0,0.0,0.0,0.0
FP-Growth,50,0.03,0.1,4,0.3534367588164392,0.0,0.0,0.0,0.0
Apriori,50,0.03,0.2,2,0.3534367588164392,0.0,0.0,0.0,0.0
FP-Growth,50,0.03,0.2,2,0.3534367588164392,0.0,0.0,0.0,0.0
Apriori,50,0.03,0.2,4,0.3534367588164392,0.0,0.0,0.0,0.0
FP-Growth,50,0.03,0.2,4,0.3534367588164392,0.0,0.0,0.0,0.0
Apriori,50,0.03,0.3,2,0.3534367588164392,0.0,0.0,0.0,0.0
FP-Growth,50,0.03,0.3,2,0.3534367588164392,0.0,0.0,0.0,0.0
Apriori,50,0.03,0.3,4,0.3534367588164392,0.0,0.0,0.0,0.0
FP-Growth,50,0.03,0.3,4,0.3534367588164392,0.0,0.0,0.0,0.0
Apriori,75,0.005,0.05,2,0.30894358256541854,0.1162455771997356,0.03093361769553695,0.1162455771997356,0.1162455771997356
FP-Growth,75,0.005,0.05,2,0.30894358256541854,0.1162455771997356,0.03093361769553695,0.1162455771997356,0.1162455771997356
Apriori,75,0.005,0.05,4,0.30894358256541854,0.1162455771997356,0.03093361769553695,0.1162455771997356,0.1162455771997356
FP-Growth,75,0.005,0.05,4,0.30894358256541854,0.1162455771997356,0.03093361769553695,0.1162455771997356,0.1162455771997356
Apriori,75,0.005,0.1,2,0.30894358256541854,0.1162455771997356,0.03093361769553695,0.1162455771997356,0.1162455771997356
FP-Growth,75,0.005,0.1,2,0.30894358256541854,0.1162455771997356,0.03093361769553695,0.1162455771997356,0.1162455771997356
Apriori,75,0.005,0.1,4,0.30894358256541854,0.1162455771997356,0.03093361769553695,0.1162455771997356,0.1162455771997356
FP-Growth,75,0.005,0.1,4,0.30894358256541854,0.1162455771997356,0.03093361769553695,0.1162455771997356,0.1162455771997356
Apriori,75,0.005,0.2,2,0.30894358256541854,0.1162455771997356,0.03093361769553695,0.1162455771997356,0.1162455771997356
FP-Growth,75,0.005,0.2,2,0.30894358256541854,0.1162455771997356,0.03093361769553695,0.1162455771997356,0.1162455771997356
Apriori,75,0.005,0.2,4,0.30894358256541854,0.1162455771997356,0.03093361769553695,0.1162455771997356,0.1162455771997356
FP-Growth,75,0.005,0.2,4,0.30894358256541854,0.1162455771997356,0.03093361769553695,0.1162455771997356,0.1162455771997356
Apriori,75,0.005,0.3,2,0.30894358256541854,0.04549165986235857,0.010932266494953808,0.04549165986235857,0.04549165986235857
FP-Growth,75,0.005,0.3,2,0.30894358256541854,0.04549165986235857,0.010932266494953808,0.04549165986235857,0.04549165986235857
Apriori,75,0.005,0.3,4,0.30894358256541854,0.04549165986235857,0.010932266494953808,0.04549165986235857,0.04549165986235857
FP-Growth,75,0.005,0.3,4,0.30894358256541854,0.04549165986235857,0.010932266494953808,0.04549165986235857,0.04549165986235857
Apriori,75,0.01,0.05,2,0.30894358256541854,0.08312453827909327,0.020685793088920847,0.08312453827909327,0.08312453827909327
FP-Growth,75,0.01,0.05,2,0.30894358256541854,0.08312453827909327,0.020685793088920847,0.08312453827909327,0.08312453827909327
Apriori,75,0.01,0.05,4,0.30894358256541854,0.08312453827909327,0.020685793088920847,0.08312453827909327,0.08312453827909327
FP-Growth,75,0.01,0.05,4,0.30894358256541854,0.08312453827909327,0.020685793088920847,0.08312453827909327,0.08312453827909327
Apriori,75,0.01,0.1,2,0.30894358256541854,0.08312453827909327,0.020685793088920847,0.08312453827909327,0.08312453827909327
FP-Growth,75,0.01,0.1,2,0.30894358256541854,0.08312453827909327,0.020685793088920847,0.08312453827909327,0.08312453827909327
Apriori,75,0.01,0.1,4,0.30894358256541854,0.08312453827909327,0.020685793088920847,0.08312453827909327,0.08312453827909327
FP-Growth,75,0.01,0.1,4,0.30894358256541854,0.08312453827909327,0.020685793088920847,0.08312453827909327,0.08312453827909327
Apriori,75,0.01,0.2,2,0.30894358256541854,0.08312453827909327,0.020685793088920847,0.08312453827909327,0.08312453827909327
FP-Growth,75,0.01,0.2,2,0.30894358256541854,0.08312453827909327,0.020685793088920847,0.08312453827909327,0.08312453827909327
Apriori,75,0.01,0.2,4,0.30894358256541854,0.08312453827909327,0.020685793088920847,0.08312453827909327,0.08312453827909327
FP-Growth,75,0.01,0.2,4,0.30894358256541854,0.08312453827909327,0.020685793088920847,0.08312453827909327,0.08312453827909327
Apriori,75,0.01,0.3,2,0.30894358256541854,0.0257257280609666,0.006228288383946455,0.0257257280609666,0.0257257280609666
FP-Growth,75,0.01,0.3,2,0.30894358256541854,0.0257257280609666,0.006228288383946455,0.0257257280609666,0.0257257280609666
Apriori,75,0.01,0.3,4,0.30894358256541854,0.0257257280609666,0.006228288383946455,0.0257257280609666,0.0257257280609666
FP-Growth,75,0.01,0.3,4,0.30894358256541854,0.0257257280609666,0.006228288383946455,0.0257257280609666,0.0257257280609666
Apriori,75,0.02,0.05,2,0.30894358256541854,0.0,0.0,0.0,0.0
FP-Growth,75,0.02,0.05,2,0.30894358256541854,0.0,0.0,0.0,0.0
Apriori,75,0.02,0.05,4,0.30894358256541854,0.0,0.0,0.0,0.0
FP-Growth,75,0.02,0.05,4,0.30894358256541854,0.0,0.0,0.0,0.0
Apriori,75,0.02,0.1,2,0.30894358256541854,0.0,0.0,0.0,0.0
FP-Growth,75,0.02,0.1,2,0.30894358256541854,0.0,0.0,0.0,0.0
Apriori,75,0.02,0.1,4,0.30894358256541854,0.0,0.0,0.0,0.0
FP-Growth,75,0.02,0.1,4,0.30894358256541854,0.0,0.0,0.0,0.0
Apriori,75,0.02,0.2,2,0.30894358256541854,0.0,0.0,0.0,0.0
FP-Growth,75,0.02,0.2,2,0.30894358256541854,0.0,0.0,0.0,0.0
Apriori,75,0.02,0.2,4,0.30894358256541854,0.0,0.0,0.0,0.0
FP-Growth,75,0.02,0.2,4,0.30894358256541854,0.0,0.0,0.0,0.0
Apriori,75,0.02,0.3,2,0.30894358256541854,0.0,0.0,0.0,0.0
FP-Growth,75,0.02,0.3,2,0.30894358256541854,0.0,0.0,0.0,0.0
Apriori,75,0.02,0.3,4,0.30894358256541854,0.0,0.0,0.0,0.0
FP-Growth,75,0.02,0.3,4,0.30894358256541854,0.0,0.0,0.0,0.0
Apriori,75,0.03,0.05,2,0.30894358256541854,0.0,0.0,0.0,0.0
FP-Growth,75,0.03,0.05,2,0.30894358256541854,0.0,0.0,0.0,0.0
Apriori,75,0.03,0.05,4,0.30894358256541854,0.0,0.0,0.0,0.0
FP-Growth,75,0.03,0.05,4,0.30894358256541854,0.0,0.0,0.0,0.0
Apriori,75,0.03,0.1,2,0.30894358256541854,0.0,0.0,0.0,0.0
FP-Growth,75,0.03,0.1,2,0.30894358256541854,0.0,0.0,0.0,0.0
Apriori,75,0.03,0.1,4,0.30894358256541854,0.0,0.0,0.0,0.0
FP-Growth,75,0.03,0.1,4,0.30894358256541854,0.0,0.0,0.0,0.0
Apriori,75,0.03,0.2,2,0.30894358256541854,0.0,0.0,0.0,0.0
FP-Growth,75,0.03,0.2,2,0.30894358256541854,0.0,0.0,0.0,0.0
Apriori,75,0.03,0.2,4,0.30894358256541854,0.0,0.0,0.0,0.0
FP-Growth,75,0.03,0.2,4,0.30894358256541854,0.0,0.0,0.0,0.0
Apriori,75,0.03,0.3,2,0.30894358256541854,0.0,0.0,0.0,0.0
FP-Growth,75,0.03,0.3,2,0.30894358256541854,0.0,0.0,0.0,0.0
Apriori,75,0.03,0.3,4,0.30894358256541854,0.0,0.0,0.0,0.0
FP-Growth,75,0.03,0.3,4,0.30894358256541854,0.0,0.0,0.0,0.0
